Date, Open, Close*, Volume
7-May-21, 2400.00, 2398.69, 1163600
6-May-21, 2350.64, 2381.35, 1030900
5-May-21, 2368.42, 2356.74, 1090300
4-May-21, 2369.74, 2354.25, 1756000
3-May-21, 2402.72, 2395.17, 1689400
30-Apr-21, 2404.49, 2410.12, 1956700
29-Apr-21, 2410.33, 2429.89, 1977700
28-Apr-21, 2407.15, 2379.91, 2986400
27-Apr-21, 2336.00, 2307.12, 1598600
26-Apr-21, 2319.93, 2326.74, 1041700
23-Apr-21, 2283.47, 2315.30, 1433500
22-Apr-21, 2293.23, 2267.92, 1054800
21-Apr-21, 2285.25, 2293.29, 1196500
20-Apr-21, 2307.89, 2293.63, 1088700
19-Apr-21, 2291.98, 2302.40, 1234400
16-Apr-21, 2303.00, 2297.76, 1129800
15-Apr-21, 2276.98, 2296.66, 1373600
14-Apr-21, 2275.16, 2254.84, 1011000
13-Apr-21, 2261.47, 2267.27, 1165500
12-Apr-21, 2266.25, 2254.79, 1565900
9-Apr-21, 2256.70, 2285.88, 1044400
8-Apr-21, 2277.96, 2265.44, 1358300
7-Apr-21, 2226.13, 2249.68, 1289900
