Date,	        Open,	Close*,	Volume
7-May-21, 130.85, 130.21, 74667644
6-May-21, 127.89, 129.74, 77968100
5-May-21, 129.2, 128.1, 84000900
4-May-21, 131.19, 127.85, 137564700
3-May-21, 132.04, 132.54, 75135100
30-Apr-21, 131.78, 131.46, 109713200
29-Apr-21, 136.47, 133.48, 151101000
28-Apr-21, 134.31, 133.58, 107760100
27-Apr-21, 135.01, 134.39, 66015800
26-Apr-21, 134.83, 134.72, 66905100
23-Apr-21, 132.16, 134.32, 78657500
22-Apr-21, 133.04, 131.94, 84566500
21-Apr-21, 132.36, 133.5, 68847100
20-Apr-21, 135.02, 133.11, 94812300
19-Apr-21, 133.51, 134.84, 94264200
16-Apr-21, 134.3, 134.16, 84922400
15-Apr-21, 133.82, 134.5, 89347100
14-Apr-21, 134.94, 132.03, 87222800
13-Apr-21, 132.44, 134.43, 91266500
12-Apr-21, 132.52, 131.24, 91420000
9-Apr-21, 129.8, 133, 106686700
8-Apr-21, 128.95, 130.36, 88844600
7-Apr-21, 125.83, 127.9, 83466700
